state,action,q_value,last_action,debug
"('7', '7', '8', 'J')_-4.0_4_4",draw_deck_flip_3,1.01,"g_47_r_4: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('6', '6', 'J', 'K')_-4.5_Q_4",take_discard_3,1.01,g_48_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', '3', '3', '8')_-2.0_6_4",take_discard_3,1.01,g_49_r_4: Q-learning agent took from discard and placed at position 4,{}
"('3', '7', '8', 'K')_-5.5_9_4",take_discard_2,1.01,g_51_r_4: Q-learning agent took from discard and placed at position 3,{}
"('8', 'J', 'J', 'Q')_-4.5_3_4",take_discard_3,1.01,g_56_r_4: Q-learning agent took from discard and placed at position 4,{}
"('2', '8', 'A', 'A')_-6.5_5_4",take_discard_3,1.01,g_58_r_4: Q-learning agent took from discard and placed at position 4,{}
"('2', '5', '6', '8')_-7.0_9_4",draw_deck_flip_3,1.01,"g_59_r_4: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('2', '8', 'J', 'J')_-7.5_7_4",take_discard_3,1.01,g_60_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', '7', '7', 'J')_4.0_2_4",take_discard_3,1.01,g_61_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', 'A', 'J', 'K')_14.5_K_4",take_discard_3,1.01,g_64_r_4: Q-learning agent took from discard and placed at position 4,{}
"('3', '6', 'J', 'Q')_-10.0_9_4",take_discard_3,1.01,g_65_r_4: Q-learning agent took from discard and placed at position 4,{}
"('2', '4', '6', '7')_9.0_7_4",take_discard_3,1.01,g_67_r_4: Q-learning agent took from discard and placed at position 4,{}
"('5', '8', 'A', 'J')_0.0_3_4",take_discard_3,1.01,g_69_r_4: Q-learning agent took from discard and placed at position 4,{}
"('2', '4', '8', 'K')_4.0_J_4",take_discard_3,1.01,g_70_r_4: Q-learning agent took from discard and placed at position 4,{}
"('5', '7', '7', '9')_12.5_9_4",take_discard_3,1.01,g_72_r_4: Q-learning agent took from discard and placed at position 4,{}
"('5', '6', '8', 'K')_-0.5_2_4",take_discard_2,1.01,g_73_r_4: Q-learning agent took from discard and placed at position 3,{}
"('3', '7', 'J', 'J')_-0.5_5_4",take_discard_3,1.01,g_75_r_4: Q-learning agent took from discard and placed at position 4,{}
"('4', '4', 'A', 'K')_-7.5_3_4",take_discard_3,1.01,g_76_r_4: Q-learning agent took from discard and placed at position 4,{}
"('4', '7', '8', 'A')_-1.0_5_4",take_discard_3,1.01,g_77_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', '10', 'J', 'J')_-11.0_A_4",take_discard_3,1.01,g_78_r_4: Q-learning agent took from discard and placed at position 4,{}
"('2', '8', 'J', 'K')_6.5_2_4",draw_deck_3,1.01,g_80_r_4: Q-learning agent drew from deck and kept at position 4,{}
"('A', 'A', 'A')_-4.0_3_4",take_discard_1,1.01,g_82_r_4: Q-learning agent took from discard and placed at position 2,{}
"('2', '6', '8', 'K')_-3.0_5_4",take_discard_3,1.01,g_83_r_4: Q-learning agent took from discard and placed at position 4,{}
"('4', '5', '6', 'K')_-4.5_7_4",draw_deck_flip_3,1.01,"g_84_r_4: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('2', '3', '3', 'J')_-10.0_7_4",draw_deck_3,1.01,g_85_r_4: Q-learning agent drew from deck and kept at position 4,{}
"('3', '4', '9', 'K')_-1.0_5_4",take_discard_3,1.01,g_89_r_4: Q-learning agent took from discard and placed at position 4,{}
"('6', 'A', 'J', 'Q')_6.0_A_4",draw_deck_3,1.01,g_90_r_4: Q-learning agent drew from deck and kept at position 4,{}
"('3', '8', 'A', 'J')_-10.5_K_4",take_discard_3,1.01,g_91_r_4: Q-learning agent took from discard and placed at position 4,{}
"('2', '3', '5', '7')_-9.5_K_4",take_discard_3,1.01,g_95_r_4: Q-learning agent took from discard and placed at position 4,{}
"('4', '4', '7', 'A')_-4.0_J_4",take_discard_2,1.01,g_99_r_4: Q-learning agent took from discard and placed at position 3,{}
"('10', '9', '9', 'K')_-1.0_5_4",take_discard_3,1.01,g_100_r_4: Q-learning agent took from discard and placed at position 4,{}
"('2', 'J')_-7.0_7_1",take_discard_1,0.019000000000000003,g_81_r_1: Q-learning agent took from discard and placed at position 2,{}
"('2', '7', 'J')_-8.5_8_2",draw_deck_flip_3,0.010000000000000002,"g_1_r_2: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('2', '7', 'J')_0.5_A_3",draw_deck_0,0.010000000000000002,g_1_r_3: Q-learning agent drew from deck and kept at position 1,{}
"('10', '6')_0.0_J_1",take_discard_0,0.010000000000000002,g_2_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '6', 'J')_-5.5_Q_2",take_discard_1,0.010000000000000002,g_2_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '6', 'J', 'Q')_-4.5_8_3",take_discard_2,0.010000000000000002,g_2_r_3: Q-learning agent took from discard and placed at position 3,{}
"('7', '9')_-2.0_2_1",take_discard_0,0.010000000000000002,g_3_r_1: Q-learning agent took from discard and placed at position 1,{}
"('2', '7', '7')_-17.0_K_3",take_discard_1,0.010000000000000002,g_3_r_3: Q-learning agent took from discard and placed at position 2,{}
"('2', '7', '9')_-6.0_6_2",draw_deck_2,0.010000000000000002,g_3_r_2: Q-learning agent drew from deck and kept at position 3,{}
"('10', '7')_0.0_A_1",take_discard_0,0.010000000000000002,g_4_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '7', 'A')_-11.0_K_2",take_discard_1,0.010000000000000002,g_4_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '7', 'A', 'K')_-0.5_4_3",take_discard_2,0.010000000000000002,g_4_r_3: Q-learning agent took from discard and placed at position 3,{}
"('2', '5', 'Q')_-2.5_6_2",take_discard_1,0.010000000000000002,g_5_r_2: Q-learning agent took from discard and placed at position 2,{}
"('2', '5', '6', 'Q')_-7.0_Q_3",take_discard_2,0.010000000000000002,g_5_r_3: Q-learning agent took from discard and placed at position 3,{}
"('5', 'Q')_-6.0_8_1",draw_deck_flip_0,0.010000000000000002,"g_5_r_1: Q-learning agent drew from deck, discarded it, and flipped position 1",{}
"('5', 'K')_-2.0_2_1",take_discard_0,0.010000000000000002,g_6_r_1: Q-learning agent took from discard and placed at position 1,{}
"('2', '5', 'K')_-6.0_6_2",take_discard_1,0.010000000000000002,g_6_r_2: Q-learning agent took from discard and placed at position 2,{}
"('2', '5', '6', 'K')_-7.0_K_3",take_discard_2,0.010000000000000002,g_6_r_3: Q-learning agent took from discard and placed at position 3,{}
"('6', '8')_-6.0_7_1",take_discard_0,0.010000000000000002,g_7_r_1: Q-learning agent took from discard and placed at position 1,{}
"('6', '7', '8')_-9.5_Q_2",take_discard_1,0.010000000000000002,g_7_r_2: Q-learning agent took from discard and placed at position 2,{}
"('6', '7', '8', 'Q')_2.0_A_3",take_discard_2,0.010000000000000002,g_7_r_3: Q-learning agent took from discard and placed at position 3,{}
"('10', '4')_-6.0_6_1",take_discard_0,0.010000000000000002,g_8_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '4', '6')_2.5_J_2",take_discard_1,0.010000000000000002,g_8_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '4', '6', 'J')_-7.5_10_3",take_discard_2,0.010000000000000002,g_8_r_3: Q-learning agent took from discard and placed at position 3,{}
"('5', 'K')_-6.5_6_2",take_discard_0,0.010000000000000002,g_9_r_2: Q-learning agent took from discard and placed at position 1,{}
"('5', '6', 'K')_0.0_A_3",take_discard_1,0.010000000000000002,g_9_r_3: Q-learning agent took from discard and placed at position 2,{}
"('6', 'K')_-10.0_10_1",draw_deck_3,0.010000000000000002,g_9_r_1: Q-learning agent drew from deck and kept at position 4,{}
"('10', '3')_-9.0_Q_1",take_discard_0,0.010000000000000002,g_10_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '3', 'Q')_0.0_J_2",take_discard_1,0.010000000000000002,g_10_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '3', 'J', 'Q')_-7.5_9_3",take_discard_2,0.010000000000000002,g_10_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', 'A')_-9.0_9_1",take_discard_0,0.010000000000000002,g_11_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', '9', 'A')_0.5_J_2",take_discard_1,0.010000000000000002,g_11_r_2: Q-learning agent took from discard and placed at position 2,{}
"('3', '9', 'A', 'J')_-9.5_K_3",take_discard_2,0.010000000000000002,g_11_r_3: Q-learning agent took from discard and placed at position 3,{}
"('6', 'Q')_-3.5_8_1",take_discard_0,0.010000000000000002,g_12_r_1: Q-learning agent took from discard and placed at position 1,{}
"('6', '8', 'Q')_0.5_3_2",take_discard_1,0.010000000000000002,g_12_r_2: Q-learning agent took from discard and placed at position 2,{}
"('3', '6', '8', 'Q')_-7.0_Q_3",take_discard_2,0.010000000000000002,g_12_r_3: Q-learning agent took from discard and placed at position 3,{}
"('4', '5')_-7.0_7_1",take_discard_0,0.010000000000000002,g_13_r_1: Q-learning agent took from discard and placed at position 1,{}
"('4', '5', '7', '7')_-7.0_Q_3",take_discard_2,0.010000000000000002,g_13_r_3: Q-learning agent took from discard and placed at position 3,{}
"('4', '5', '7')_10.0_7_2",take_discard_1,0.010000000000000002,g_13_r_2: Q-learning agent took from discard and placed at position 2,{}
"('2', '5')_-9.0_Q_1",take_discard_0,0.010000000000000002,g_14_r_1: Q-learning agent took from discard and placed at position 1,{}
"('2', '5', 'Q')_-5.0_6_2",take_discard_1,0.010000000000000002,g_14_r_2: Q-learning agent took from discard and placed at position 2,{}
"('2', '5', '6', 'Q')_-7.5_8_3",take_discard_2,0.010000000000000002,g_14_r_3: Q-learning agent took from discard and placed at position 3,{}
"('10', '9')_4.5_A_1",take_discard_0,0.010000000000000002,g_15_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '9', 'A')_-1.5_7_2",take_discard_1,0.010000000000000002,g_15_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '7', '9', 'A')_11.5_7_3",take_discard_2,0.010000000000000002,g_15_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', 'J')_-1.0_A_1",take_discard_0,0.010000000000000002,g_16_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', 'A', 'J')_-10.0_K_2",take_discard_1,0.010000000000000002,g_16_r_2: Q-learning agent took from discard and placed at position 2,{}
"('3', 'A', 'J', 'K')_-4.5_4_3",take_discard_2,0.010000000000000002,g_16_r_3: Q-learning agent took from discard and placed at position 3,{}
"('2', '5')_-3.0_3_1",take_discard_0,0.010000000000000002,g_17_r_1: Q-learning agent took from discard and placed at position 1,{}
"('2', '3', '5')_-4.5_6_2",take_discard_1,0.010000000000000002,g_17_r_2: Q-learning agent took from discard and placed at position 2,{}
"('2', '3', '5', '6')_-7.0_8_3",draw_deck_flip_2,0.010000000000000002,"g_17_r_3: Q-learning agent drew from deck, discarded it, and flipped position 3",{}
"('2', '9')_-1.0_3_1",take_discard_0,0.010000000000000002,g_18_r_1: Q-learning agent took from discard and placed at position 1,{}
"('2', '3', '9')_-8.5_10_2",take_discard_1,0.010000000000000002,g_18_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '2', '3', '9')_-6.5_7_3",take_discard_2,0.010000000000000002,g_18_r_3: Q-learning agent took from discard and placed at position 3,{}
"('5', 'K')_-7.0_7_1",take_discard_0,0.010000000000000002,g_19_r_1: Q-learning agent took from discard and placed at position 1,{}
"('5', '7', 'K')_2.5_J_2",take_discard_1,0.010000000000000002,g_19_r_2: Q-learning agent took from discard and placed at position 2,{}
"('5', '7', 'J', 'K')_2.0_A_3",take_discard_2,0.010000000000000002,g_19_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', '4')_-2.5_5_1",take_discard_0,0.010000000000000002,g_20_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', '4', '5')_-4.0_6_2",take_discard_1,0.010000000000000002,g_20_r_2: Q-learning agent took from discard and placed at position 2,{}
"('3', '4', '5', '6')_-1.5_3_3",take_discard_2,0.010000000000000002,g_20_r_3: Q-learning agent took from discard and placed at position 3,{}
"('10', '3', '4')_12.5_10_3",take_discard_1,0.010000000000000002,g_21_r_3: Q-learning agent took from discard and placed at position 2,{}
"('10', '4')_-3.5_5_2",draw_deck_flip_0,0.010000000000000002,"g_21_r_2: Q-learning agent drew from deck, discarded it, and flipped position 1",{}
"('4', 'A')_-9.0_10_1",take_discard_2,0.010000000000000002,g_21_r_1: Q-learning agent took from discard and placed at position 3,{}
"('A', 'Q')_-4.0_5_1",take_discard_0,0.010000000000000002,g_22_r_1: Q-learning agent took from discard and placed at position 1,{}
"('5', 'A', 'Q')_-9.5_Q_2",take_discard_1,0.010000000000000002,g_22_r_2: Q-learning agent took from discard and placed at position 2,{}
"('5', 'A', 'Q', 'Q')_-20.0_K_3",take_discard_2,0.010000000000000002,g_22_r_3: Q-learning agent took from discard and placed at position 3,{}
"('2', '7')_-1.0_3_1",take_discard_0,0.010000000000000002,g_23_r_1: Q-learning agent took from discard and placed at position 1,{}
"('2', '3', '7')_-2.5_4_2",take_discard_1,0.010000000000000002,g_23_r_2: Q-learning agent took from discard and placed at position 2,{}
"('2', '3', '4', '7')_-4.0_5_3",take_discard_2,0.010000000000000002,g_23_r_3: Q-learning agent took from discard and placed at position 3,{}
"('A', 'K')_-9.0_K_1",take_discard_0,0.010000000000000002,g_24_r_1: Q-learning agent took from discard and placed at position 1,{}
"('A', 'K', 'K')_-14.0_4_2",take_discard_1,0.010000000000000002,g_24_r_2: Q-learning agent took from discard and placed at position 2,{}
"('4', 'A', 'K', 'K')_-18.0_8_3",take_discard_2,0.010000000000000002,g_24_r_3: Q-learning agent took from discard and placed at position 3,{}
"('10', 'K')_-1.0_2_2",take_discard_0,0.010000000000000002,g_25_r_2: Q-learning agent took from discard and placed at position 1,{}
"('10', '2', 'K')_1.5_A_3",take_discard_1,0.010000000000000002,g_25_r_3: Q-learning agent took from discard and placed at position 2,{}
"('10', 'K')_-5.0_7_1",draw_deck_flip_2,0.010000000000000002,"g_25_r_1: Q-learning agent drew from deck, discarded it, and flipped position 3",{}
"('8', 'J')_0.0_J_1",take_discard_0,0.010000000000000002,g_26_r_1: Q-learning agent took from discard and placed at position 1,{}
"('8', 'J', 'J')_-4.0_4_2",take_discard_1,0.010000000000000002,g_26_r_2: Q-learning agent took from discard and placed at position 2,{}
"('4', '8', 'J', 'J')_-1.5_A_3",take_discard_3,0.010000000000000002,g_26_r_3: Q-learning agent took from discard and placed at position 4,{}
"('4', 'J')_-10.0_10_1",take_discard_0,0.010000000000000002,g_27_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '4', 'J')_-10.5_K_2",take_discard_1,0.010000000000000002,g_27_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '4', 'J', 'K')_-6.0_5_3",take_discard_2,0.010000000000000002,g_27_r_3: Q-learning agent took from discard and placed at position 3,{}
"('9', 'J')_-9.0_9_1",take_discard_0,0.010000000000000002,g_28_r_1: Q-learning agent took from discard and placed at position 1,{}
"('9', '9', 'J')_-16.0_7_2",take_discard_1,0.010000000000000002,g_28_r_2: Q-learning agent took from discard and placed at position 2,{}
"('7', '9', '9', 'J')_-15.0_6_3",take_discard_2,0.010000000000000002,g_28_r_3: Q-learning agent took from discard and placed at position 3,{}
"('8', 'A')_-8.0_9_1",take_discard_0,0.010000000000000002,g_29_r_1: Q-learning agent took from discard and placed at position 1,{}
"('8', '9', 'A')_-17.0_8_2",take_discard_1,0.010000000000000002,g_29_r_2: Q-learning agent took from discard and placed at position 2,{}
"('8', '8', '9', 'A')_-18.0_10_3",take_discard_2,0.010000000000000002,g_29_r_3: Q-learning agent took from discard and placed at position 3,{}
"('4', 'Q')_-6.0_9_1",take_discard_0,0.010000000000000002,g_30_r_1: Q-learning agent took from discard and placed at position 1,{}
"('4', '9', 'Q')_11.5_9_2",take_discard_1,0.010000000000000002,g_30_r_2: Q-learning agent took from discard and placed at position 2,{}
"('4', '9', '9', 'Q')_-5.0_8_3",draw_deck_2,0.010000000000000002,g_30_r_3: Q-learning agent drew from deck and kept at position 3,{}
"('2', 'A')_-9.0_10_1",take_discard_0,0.010000000000000002,g_31_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '2', 'A')_10.5_10_2",take_discard_1,0.010000000000000002,g_31_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '10', '2', 'A')_-7.0_8_3",take_discard_2,0.010000000000000002,g_31_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', 'K')_-7.5_Q_1",take_discard_0,0.010000000000000002,g_32_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', 'K', 'Q')_12.0_Q_2",take_discard_2,0.010000000000000002,g_32_r_2: Q-learning agent took from discard and placed at position 3,{}
"('K', 'Q', 'Q')_5.5_J_3",take_discard_3,0.010000000000000002,g_32_r_3: Q-learning agent took from discard and placed at position 4,{}
"('5', '7')_-5.5_8_1",take_discard_0,0.010000000000000002,g_33_r_1: Q-learning agent took from discard and placed at position 1,{}
"('5', '7', '8')_2.5_J_2",take_discard_1,0.010000000000000002,g_33_r_2: Q-learning agent took from discard and placed at position 2,{}
"('5', '7', '8', 'J')_-1.0_4_3",take_discard_2,0.010000000000000002,g_33_r_3: Q-learning agent took from discard and placed at position 3,{}
"('7', '8')_-3.0_6_1",take_discard_0,0.010000000000000002,g_34_r_1: Q-learning agent took from discard and placed at position 1,{}
"('6', '7', '8')_4.0_J_2",take_discard_1,0.010000000000000002,g_34_r_2: Q-learning agent took from discard and placed at position 2,{}
"('6', '7', '8', 'J')_-1.0_5_3",take_discard_2,0.010000000000000002,g_34_r_3: Q-learning agent took from discard and placed at position 3,{}
"('4', '8')_-2.5_5_1",take_discard_0,0.010000000000000002,g_35_r_1: Q-learning agent took from discard and placed at position 1,{}
"('4', '5', '8')_-1.5_4_2",take_discard_1,0.010000000000000002,g_35_r_2: Q-learning agent took from discard and placed at position 2,{}
"('4', '4', '5', '8')_-14.0_Q_3",draw_deck_flip_3,0.010000000000000002,"g_35_r_3: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('9', 'Q')_-6.0_7_1",take_discard_0,0.010000000000000002,g_36_r_1: Q-learning agent took from discard and placed at position 1,{}
"('7', '9', 'K')_-7.0_10_3",take_discard_1,0.010000000000000002,g_36_r_3: Q-learning agent took from discard and placed at position 2,{}
"('7', '9', 'Q')_2.5_2_2",draw_deck_3,0.010000000000000002,g_36_r_2: Q-learning agent drew from deck and kept at position 4,{}
"('3', '5')_-5.0_7_2",take_discard_0,0.010000000000000002,g_37_r_2: Q-learning agent took from discard and placed at position 1,{}
"('3', '5', '7')_8.5_7_3",take_discard_1,0.010000000000000002,g_37_r_3: Q-learning agent took from discard and placed at position 2,{}
"('3', '8')_0.5_2_1",draw_deck_3,0.010000000000000002,g_37_r_1: Q-learning agent drew from deck and kept at position 4,{}
"('10', 'A')_-6.0_7_1",take_discard_0,0.010000000000000002,g_38_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '7', 'A')_-3.5_4_2",take_discard_1,0.010000000000000002,g_38_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '4', '7', 'A')_-3.0_3_3",take_discard_2,0.010000000000000002,g_38_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', 'J')_-8.0_8_1",take_discard_0,0.010000000000000002,g_39_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', '8', 'J')_-5.5_5_2",take_discard_1,0.010000000000000002,g_39_r_2: Q-learning agent took from discard and placed at position 2,{}
"('3', '5', '8', 'J')_-3.0_2_3",take_discard_2,0.010000000000000002,g_39_r_3: Q-learning agent took from discard and placed at position 3,{}
"('10', '5', '7')_-2.5_2_2",take_discard_1,0.010000000000000002,g_40_r_2: Q-learning agent took from discard and placed at position 2,{}
"('5', '7')_-6.0_6_1",draw_deck_0,0.010000000000000002,g_40_r_1: Q-learning agent drew from deck and kept at position 1,{}
"('10', '2', '5', '7')_2.5_J_3",take_discard_3,0.010000000000000002,g_40_r_3: Q-learning agent took from discard and placed at position 4,{}
"('10', '3')_-3.0_4_2",take_discard_0,0.010000000000000002,g_41_r_2: Q-learning agent took from discard and placed at position 1,{}
"('10', '3', '4')_-1.0_2_3",take_discard_1,0.010000000000000002,g_41_r_3: Q-learning agent took from discard and placed at position 2,{}
"('3', '4')_-1.0_3_1",draw_deck_2,0.010000000000000002,g_41_r_1: Q-learning agent drew from deck and kept at position 3,{}
"('3', '4')_1.0_A_1",take_discard_0,0.010000000000000002,g_42_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', '4', 'A')_0.5_2_2",take_discard_1,0.010000000000000002,g_42_r_2: Q-learning agent took from discard and placed at position 2,{}
"('2', '3', '4', 'A')_-7.0_9_3",draw_deck_2,0.010000000000000002,g_42_r_3: Q-learning agent drew from deck and kept at position 3,{}
"('9', 'J')_-5.0_5_1",take_discard_0,0.010000000000000002,g_43_r_1: Q-learning agent took from discard and placed at position 1,{}
"('5', '9', 'J')_-4.5_4_2",take_discard_1,0.010000000000000002,g_43_r_2: Q-learning agent took from discard and placed at position 2,{}
"('4', '5', '9', 'J')_-2.5_2_3",take_discard_2,0.010000000000000002,g_43_r_3: Q-learning agent took from discard and placed at position 3,{}
"('5', 'A')_-7.0_8_1",take_discard_0,0.010000000000000002,g_44_r_1: Q-learning agent took from discard and placed at position 1,{}
"('5', '8', 'A')_-9.5_10_2",take_discard_1,0.010000000000000002,g_44_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '5', '8', 'A')_-9.5_9_3",take_discard_2,0.010000000000000002,g_44_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', '6')_1.5_A_1",take_discard_0,0.010000000000000002,g_45_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', '6', 'A')_-6.5_9_2",take_discard_1,0.010000000000000002,g_45_r_2: Q-learning agent took from discard and placed at position 2,{}
"('3', '6', '9', 'A')_-0.5_2_3",take_discard_2,0.010000000000000002,g_45_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', '7')_-2.5_5_1",take_discard_0,0.010000000000000002,g_46_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', '5', '7')_-8.0_Q_2",take_discard_1,0.010000000000000002,g_46_r_2: Q-learning agent took from discard and placed at position 2,{}
"('3', '5', '7', 'Q')_0.0_A_3",take_discard_2,0.010000000000000002,g_46_r_3: Q-learning agent took from discard and placed at position 3,{}
"('J', 'K')_-7.0_7_1",take_discard_0,0.010000000000000002,g_47_r_1: Q-learning agent took from discard and placed at position 1,{}
"('7', 'J', 'K')_6.5_7_2",take_discard_1,0.010000000000000002,g_47_r_2: Q-learning agent took from discard and placed at position 2,{}
"('7', '7', 'J', 'K')_-8.0_8_3",take_discard_2,0.010000000000000002,g_47_r_3: Q-learning agent took from discard and placed at position 3,{}
"('8', 'K')_2.5_J_1",take_discard_0,0.010000000000000002,g_48_r_1: Q-learning agent took from discard and placed at position 1,{}
"('8', 'J', 'K')_-3.5_6_2",take_discard_1,0.010000000000000002,g_48_r_2: Q-learning agent took from discard and placed at position 2,{}
"('6', '8', 'J', 'K')_11.0_6_3",take_discard_2,0.010000000000000002,g_48_r_3: Q-learning agent took from discard and placed at position 3,{}
"('3', '6', '8')_4.5_3_2",take_discard_0,0.010000000000000002,g_49_r_2: Q-learning agent took from discard and placed at position 1,{}
"('3', '3', '6', '8')_-5.5_10_3",take_discard_2,0.010000000000000002,g_49_r_3: Q-learning agent took from discard and placed at position 3,{}
"('6', '8')_2.0_J_1",draw_deck_1,0.010000000000000002,g_49_r_1: Q-learning agent drew from deck and kept at position 2,{}
"('5', '9')_-9.0_K_1",take_discard_0,0.010000000000000002,g_50_r_1: Q-learning agent took from discard and placed at position 1,{}
"('5', '9', 'K')_-9.0_9_2",take_discard_1,0.010000000000000002,g_50_r_2: Q-learning agent took from discard and placed at position 2,{}
"('5', '9', '9', 'K')_-16.0_7_3",take_discard_2,0.010000000000000002,g_50_r_3: Q-learning agent took from discard and placed at position 3,{}
"('J', 'K')_-3.0_3_1",take_discard_0,0.010000000000000002,g_51_r_1: Q-learning agent took from discard and placed at position 1,{}
"('3', '8', 'K')_-2.5_7_3",take_discard_1,0.010000000000000002,g_51_r_3: Q-learning agent took from discard and placed at position 2,{}
"('3', 'J', 'K')_-8.0_8_2",take_discard_3,0.010000000000000002,g_51_r_2: Q-learning agent took from discard and placed at position 4,{}
"('6', '8')_-7.0_10_1",take_discard_0,0.010000000000000002,g_52_r_1: Q-learning agent took from discard and placed at position 1,{}
"('10', '6', '8')_3.5_J_2",take_discard_1,0.010000000000000002,g_52_r_2: Q-learning agent took from discard and placed at position 2,{}
"('10', '6', '8', 'J')_-5.5_9_3",take_discard_2,0.010000000000000002,g_52_r_3: Q-learning agent took from discard and placed at position 3,{}
